n_agents,shape,conclusion,steps
5,cycle,1.0,293
5,cycle,1.0,375
5,cycle,1.0,656
5,cycle,1.0,239
5,cycle,0.0,1
5,cycle,1.0,221
5,cycle,1.0,484
5,cycle,1.0,513
5,cycle,1.0,1030
5,cycle,1.0,489
5,cycle,1.0,358
5,cycle,1.0,214
5,cycle,1.0,137
5,cycle,0.0,43
5,cycle,1.0,748
5,cycle,1.0,176
5,cycle,1.0,873
5,cycle,0.0,1
5,cycle,1.0,140
5,cycle,1.0,213
5,cycle,1.0,609
5,cycle,1.0,374
5,cycle,1.0,447
5,cycle,1.0,359
5,cycle,1.0,465
5,cycle,1.0,185
5,cycle,1.0,926
5,cycle,1.0,437
5,cycle,1.0,499
5,cycle,1.0,292
5,cycle,1.0,714
5,cycle,0.0,127
5,cycle,1.0,287
5,cycle,1.0,533
5,cycle,0.0,25
5,cycle,1.0,423
5,cycle,1.0,440
5,cycle,0.0,12
5,cycle,1.0,270
5,cycle,1.0,404
5,cycle,1.0,219
5,cycle,1.0,598
5,cycle,1.0,564
5,cycle,1.0,225
5,cycle,1.0,637
5,cycle,1.0,491
5,cycle,1.0,748
5,cycle,1.0,225
5,cycle,1.0,303
5,cycle,1.0,431
5,cycle,1.0,507
5,cycle,1.0,498
5,cycle,1.0,572
5,cycle,1.0,802
5,cycle,1.0,895
5,cycle,1.0,438
5,cycle,1.0,646
5,cycle,1.0,533
5,cycle,1.0,223
5,cycle,1.0,389
5,cycle,1.0,1276
5,cycle,1.0,683
5,cycle,1.0,455
5,cycle,0.0,1
5,cycle,1.0,642
5,cycle,1.0,284
5,cycle,0.0,1
5,cycle,0.0,65
5,cycle,1.0,863
5,cycle,1.0,641
5,cycle,1.0,352
5,cycle,1.0,435
5,cycle,1.0,635
5,cycle,1.0,989
5,cycle,1.0,244
5,cycle,1.0,343
5,cycle,1.0,891
5,cycle,1.0,380
5,cycle,1.0,146
5,cycle,1.0,1955
5,cycle,1.0,117
5,cycle,1.0,675
5,cycle,1.0,1174
5,cycle,1.0,886
5,cycle,0.0,32
5,cycle,0.0,22
5,cycle,1.0,456
5,cycle,0.0,1
5,cycle,0.0,62
5,cycle,1.0,212
5,cycle,1.0,499
5,cycle,1.0,211
5,cycle,0.0,3
5,cycle,1.0,519
5,cycle,1.0,845
5,cycle,0.0,37
5,cycle,0.0,27
5,cycle,1.0,991
5,cycle,1.0,521
5,cycle,1.0,646
5,cycle,1.0,438
5,cycle,1.0,698
5,cycle,1.0,109
5,cycle,1.0,993
5,cycle,1.0,695
5,cycle,1.0,1339
5,cycle,1.0,174
5,cycle,0.0,31
5,cycle,1.0,582
5,cycle,1.0,403
5,cycle,1.0,231
5,cycle,1.0,248
5,cycle,0.0,18
5,cycle,1.0,782
5,cycle,1.0,219
5,cycle,1.0,302
5,cycle,0.0,74
5,cycle,1.0,764
5,cycle,0.0,10
5,cycle,1.0,1048
5,cycle,1.0,231
5,cycle,1.0,382
5,cycle,1.0,327
5,cycle,0.0,1
5,cycle,1.0,311
5,cycle,1.0,383
5,cycle,1.0,463
5,cycle,1.0,240
5,cycle,1.0,621
5,cycle,1.0,699
5,cycle,1.0,377
5,cycle,1.0,1591
5,cycle,1.0,214
