randomized,unique_id,n_agents,uncertainty,n_experiments,p_rewiring,average_degree,degree_gini_coefficient,approx_average_clustering_coefficient,degree_entropy,share_of_correct_agents_at_convergence,convergence_step
True,d3b05241778a4f5fb2075dbc0cabb3ac,100,0.0013483637554226584,9,0.11845902382839774,4.85,0.744020618556701,0.18925065484074824,2.2285447603308497,0.81,500
True,23ea096617e14fa48e1a3609271da0ce,100,0.0010719629091178252,10,0.30464488898690406,4.85,0.6387835051546391,0.13723983162461917,2.3401821807772847,0.7,500
True,43853718fd154255a1da172ff39ff7e4,100,0.0009314205273090451,11,0.495743834809287,4.85,0.5272371134020619,0.09416081300912751,2.2689196303556427,0.33,500
True,22bdcbc3e49d4f2f94bfec97f5f34049,100,0.0011504099951332994,2,0.31034713602023184,4.85,0.6085567010309278,0.12478123927093854,2.250250924899034,0.31,500
True,d97e8f6f699947379c0a7478caef182b,100,0.001212229402978399,10,0.37460531131276414,4.85,0.5817525773195876,0.11373519091132797,2.3136916938220775,0.85,500
True,d8cce3e41164404a8aa2946b6a1d3e1f,100,0.001046516524130831,5,0.4816153120779537,4.85,0.4895876288659794,0.0744690236354163,2.288518883578685,0.48,500
True,398d3ab9c6b94b32beac22fd87932a58,100,0.0013494015165263586,13,0.4688098064798762,4.85,0.5350721649484536,0.08949037219571036,2.379588267200723,0.85,500
True,0e32a6b707cd494c9c05c233b1fd37ef,100,0.0012460387411129643,1,0.13708328361668093,4.85,0.736639175257732,0.16288603587301023,2.1920925663886117,0.17,500
True,a572155cf1124c50adca6466783508ff,100,0.001150850425410882,7,0.20536573237718458,4.85,0.6987422680412371,0.14959848401246836,2.249138077699752,0.74,500
True,495ebddbccca4742b19e6b2d819795cb,100,0.0014235199934283223,10,0.4724780388457229,4.85,0.5307835051546391,0.09721652565717007,2.3482525253122155,0.45,500
True,909fbe639b53449c82663ebe70de4993,100,0.0010893267922198859,13,0.1994217642093305,4.85,0.6855876288659795,0.14963636744063533,2.24585809961033,0.99,500
True,474222ae90a34dd0b879ad6750f4358f,100,0.001296962492446132,6,0.4797747844487101,4.85,0.502618556701031,0.08747076145078637,2.2479945379014037,0.26,500
True,7c22e9644dd34e56a34c693d0ca364a8,100,0.0023075187688212473,13,0.4806249648983732,4.85,0.522618556701031,0.1101439569109571,2.3030897947978044,0.04,500
True,d10c7ea3358d4550a5318eac6a6a0986,100,0.0011052316117863778,2,0.3125888473435218,4.85,0.6382474226804123,0.11948196558365023,2.2916483593582244,0.6,500
True,281b015964414e268f80c4dc65465695,100,0.002118052172957566,9,0.32529016379354636,4.85,0.5831134020618557,0.10393588197357646,2.2287740716618165,0.93,500
True,95f52c90f67f4d0891fa5c536aff9e47,100,0.0023003893825406228,4,0.14254915194264595,4.85,0.7394845360824742,0.19136292585245,2.139022443709101,0.94,500
True,8182223f2c2d4afa8f7d8380a6563434,100,0.0021769647745136216,10,0.4954004573855565,4.85,0.5132577319587629,0.09566515727807287,2.2876581518060575,0.9,500
True,46a939c2783c4c83a59ac36a65e1f937,100,0.0013841958072839593,12,0.07601305043706735,4.85,0.7728041237113402,0.202799387159862,2.127010013056408,0.53,500
True,ae9618c076a84b109b116350f2c0b342,100,0.0014645908945970457,4,0.36114539876804835,4.85,0.6157319587628866,0.11195543576684858,2.315830725884519,0.37,500
True,7c4a7baf5c104465b9fa212498d4aa55,100,0.0024790334129421053,12,0.3852605747555245,4.85,0.5553195876288659,0.09580096074320699,2.3176876307508953,0.42,500
